date,Low,2,3,4,5,6,7,8,9,High,RF
193611,0.1632,0.0692,0.0701,0.0825,0.0709,0.0797,0.076,0.1172,0.0889,0.1064,0.01
193612,0.0239,0.0033,0.0167,0.0205,0.0116,0.0517,0.0332,0.055,0.0341,0.0244,0
193701,0.0868,0.0796,0.0726,0.0649,0.0661,0.0761,0.0837,0.0856,0.083,0.0756,0.01
193702,0.0327,0.0371,0.0605,0.0118,0.009,0.0307,0.0299,0.0437,0.0184,-0.0094,0.02
193703,-0.0077,-0.0133,-0.0175,-0.0215,0.0001,0.0098,0.0141,0.016,0.0033,0.0233,0.01
193704,-0.1339,-0.1127,-0.0712,-0.0804,-0.0824,-0.0932,-0.0918,-0.1048,-0.1024,-0.1325,0.03
193705,-0.0282,-0.0386,-0.0348,-0.0299,-0.0185,-0.0261,-0.0116,-0.0236,-0.016,-0.02,0.06
193706,-0.0938,-0.0858,-0.0918,-0.0837,-0.0528,-0.0687,-0.0719,-0.0697,-0.0738,-0.0812,0.03
193707,0.1455,0.1447,0.1105,0.1065,0.1106,0.0965,0.0694,0.0657,0.0777,0.0755,0.03
193708,-0.0312,-0.0292,-0.0402,-0.0356,-0.0503,-0.0469,-0.0509,-0.0551,-0.0773,-0.1257,0.02
193709,-0.2127,-0.2353,-0.2243,-0.2032,-0.1929,-0.1898,-0.1703,-0.1684,-0.1718,-0.185,0.04
193710,-0.0888,-0.1,-0.1115,-0.1161,-0.1118,-0.1189,-0.1143,-0.0987,-0.0748,-0.0862,0.02
193711,-0.0952,-0.1278,-0.1103,-0.1059,-0.1138,-0.1106,-0.1142,-0.1098,-0.0868,-0.1213,0.02
193712,-0.1121,-0.1406,-0.1026,-0.1356,-0.1062,-0.1026,-0.0761,-0.0693,-0.0615,-0.1049,0
193801,0.1138,0.0966,0.0582,0.0533,0.0472,0.0392,0.0368,0.017,-0.0011,-0.0301,0
193802,0.0991,0.0867,0.0741,0.0597,0.0646,0.0726,0.0776,0.0407,0.0407,-0.0026,0
193803,-0.2422,-0.2533,-0.2398,-0.2753,-0.292,-0.2804,-0.2965,-0.3103,-0.3379,-0.3366,-0.01
193804,0.3464,0.2721,0.2591,0.238,0.2231,0.1984,0.173,0.1407,0.1304,0.0683,0.01
193805,-0.0357,-0.0385,-0.0413,-0.0526,-0.0688,-0.0754,-0.0724,-0.0905,-0.1192,-0.1245,0
193806,0.4253,0.4482,0.3615,0.3496,0.3315,0.3223,0.2393,0.2214,0.1901,0.1886,0
193807,0.1228,0.0895,0.1301,0.0898,0.1298,0.1246,0.129,0.1415,0.1337,0.1387,-0.01
193808,-0.0706,-0.0196,-0.04,-0.0645,-0.0765,-0.0749,-0.0592,-0.0667,-0.0653,-0.0862,0
193809,0.009,-0.0255,-0.014,-0.0178,-0.0194,-0.0095,-0.0049,-0.0218,-0.0251,-0.0232,0.02
193810,0.2215,0.1717,0.1376,0.1489,0.1291,0.131,0.0934,0.1235,0.1335,0.1285,0.01
193811,-0.0524,-0.0184,-0.0367,-0.0193,-0.0351,-0.0407,-0.0468,-0.0484,-0.0144,-0.0633,-0.06
193812,0.0651,0.033,0.0306,0.037,0.0453,0.0365,0.0105,0.0236,0.0335,0.0261,0
193901,-0.0398,-0.064,-0.0593,-0.0599,-0.0764,-0.0663,-0.0831,-0.0882,-0.1053,-0.1216,-0.01
193902,0.0664,0.0746,0.047,0.0471,0.0289,0.0566,0.0347,0.0284,0.0295,0.0042,0.01
193903,-0.1694,-0.1585,-0.1455,-0.1609,-0.1609,-0.1581,-0.1984,-0.1901,-0.2044,-0.1978,-0.01
193904,0.0811,0.0143,0.0059,0.0189,-0.0065,-0.0163,-0.0186,-0.0134,-0.0128,-0.0341,0
193905,0.1261,0.0856,0.104,0.0861,0.0866,0.0829,0.0853,0.0747,0.0755,0.0469,0.01
193906,-0.0751,-0.0764,-0.0661,-0.0722,-0.0706,-0.0824,-0.0956,-0.1012,-0.1104,-0.0952,0.01
193907,0.1965,0.2302,0.206,0.1474,0.1423,0.1087,0.1038,0.0871,0.0536,0.0848,0
193908,-0.0536,-0.062,-0.1012,-0.0836,-0.0894,-0.1127,-0.1135,-0.1309,-0.1414,-0.1723,-0.01
193909,0.6955,0.55,0.4277,0.4546,0.3825,0.2855,0.2622,0.2487,0.1582,0.5304,0.01
193910,0.0915,0.062,0.0596,0.0175,-0.0207,-0.0072,-0.0258,-0.0438,-0.0815,-0.1304,0
193911,-0.1606,-0.1379,-0.1189,-0.0837,-0.0723,-0.0532,-0.0342,-0.0442,-0.0452,-0.0622,0
193912,-0.0182,0.0192,-0.016,0.0209,0.0465,0.014,0.0167,0.0117,0.0308,0.0424,0
194001,0.0141,-0.0046,-0.0121,-0.0254,-0.0178,-0.0188,-0.0212,-0.045,-0.0301,-0.0378,0
194002,0.0636,0.0298,0.0293,0.033,0.0326,0.022,0.0408,0.0179,0.0251,0.0143,0
194003,0.0497,0.0427,0.0252,0.0475,0.023,0.0194,0.021,0.0087,0.0162,0.0188,0
194004,0.0881,0.0193,0.0101,0.0012,0.0057,0.0083,0.0061,-0.0009,0.0214,-0.0251,0
194005,-0.2709,-0.2696,-0.2823,-0.2621,-0.2461,-0.2359,-0.2498,-0.2694,-0.2796,-0.3282,-0.02
194006,0.1097,0.1038,0.0855,0.0842,0.0738,0.0575,0.0596,0.0541,0.0368,0.0007,0
194007,0.0549,0.062,0.0408,0.0563,0.0431,0.0464,0.0283,0.0368,0.0203,-0.0107,0.01
194008,0.054,0.027,0.0109,0.0299,0.0269,0.0374,0.032,0.0141,0.0123,-0.0172,-0.01
194009,0.0517,0.0312,0.0431,0.0316,0.0337,0.0423,0.0357,0.042,0.0561,0.0157,0
194010,0.0732,0.0631,0.0446,0.0527,0.0489,0.0415,0.0464,0.0549,0.048,0.0124,0
194011,-0.0053,0.0191,0.0084,0.0071,0.0089,0.0123,-0.0082,0.0086,-0.0318,-0.0395,0
194012,-0.0485,-0.0169,0.0095,0.0015,-0.0071,-0.0051,-0.0033,-0.0178,-0.0261,-0.073,0
194101,0.1823,0.0067,-0.0131,-0.0387,-0.0153,0.0015,-0.0388,-0.0396,-0.0446,-0.0672,-0.01
194102,0.0037,-0.0238,-0.0221,-0.023,-0.0169,-0.0187,-0.0245,-0.0161,-0.0238,-0.0322,-0.01
194103,0.0474,0.026,0.0222,0.009,0.0167,0.0177,-0.0076,0.0053,-0.0105,0.0073,0.01
194104,-0.0408,-0.0639,-0.0632,-0.0591,-0.0699,-0.0566,-0.0551,-0.0485,-0.0469,-0.0688,-0.01
194105,0.0398,0.0261,0.0169,0.0231,0.0083,0.0004,-0.0021,-0.0021,0.0083,-0.0125,0
194106,0.0984,0.0683,0.0631,0.0659,0.0895,0.0592,0.0504,0.0707,0.0607,0.0437,0
194107,0.208,0.1407,0.1106,0.1046,0.0946,0.0976,0.0845,0.1649,0.1337,0.1591,0.03
194108,0.0174,0.0005,-0.0087,0.0066,-0.007,0.0066,-0.0296,-0.0102,-0.0079,-0.0357,0.01
194109,-0.0298,-0.0241,-0.0187,-0.0322,-0.0138,-0.0182,-0.0087,-0.0157,-0.0263,-0.0178,0.01
194110,-0.0768,-0.0778,-0.0696,-0.0671,-0.0406,-0.0657,-0.0516,-0.0541,-0.0402,-0.0637,0
194111,-0.0725,-0.045,-0.0459,-0.0327,-0.0189,-0.0301,-0.0096,-0.023,-0.0265,-0.0347,0
194112,-0.1051,-0.1273,-0.0825,-0.1195,-0.0645,-0.049,-0.0697,-0.0463,-0.0676,-0.0899,0.01
194201,0.4067,0.2017,0.1593,0.1315,0.1152,0.0766,0.0384,0.0954,0.0029,0.0547,0.02
194202,-0.0325,-0.0167,0.0156,-0.0087,-0.0219,-0.0053,-0.0021,-0.0281,-0.0128,-0.0312,0.01
194203,-0.0514,-0.0602,-0.0518,-0.0569,-0.0513,-0.0483,-0.0579,-0.0465,-0.0443,-0.054,0.01
194204,-0.0148,-0.052,-0.0523,-0.042,-0.0507,-0.0395,-0.0566,-0.0507,-0.0447,-0.051,0.01
194205,0.048,0.0289,0.0141,0.0407,0.0193,0.0361,0.0223,0.0126,0.0412,0.012,0.03
194206,0.0343,0.0315,0.0237,0.0147,0.0323,0.0177,0.0332,0.0354,0.0297,0.0057,0.02
194207,0.0921,0.0542,0.0498,0.0384,0.0464,0.0448,0.0492,0.0341,0.0354,0.0243,0.03
194208,0.0814,0.0313,0.0224,0.0195,0.0198,0.0344,0.0135,0.0191,0.0186,0.0172,0.03
194209,0.0977,0.04,0.0552,0.0207,0.0263,0.034,0.0352,0.0268,0.0198,0.0931,0.03
194210,0.132,0.1013,0.094,0.0694,0.0741,0.0791,0.0869,0.1093,0.1157,0.1219,0.03
194211,0.0253,0.0013,0.0056,0.0026,-0.0155,-0.0094,-0.0284,-0.0025,-0.0641,-0.0649,0.03
194212,0.0315,0.0251,0.0297,0.0359,0.0571,0.0202,0.0569,0.0448,0.032,0.0155,0.03
194301,0.4339,0.2143,0.1916,0.091,0.117,0.1155,0.0996,0.103,0.1337,0.127,0.03
194302,0.0759,0.072,0.0753,0.0856,0.0888,0.081,0.0933,0.1494,0.1615,0.437,0.03
194303,0.1216,0.0859,0.0983,0.086,0.133,0.1305,0.1327,0.1361,0.1152,0.073,0.03
194304,0.0855,0.038,0.0253,0.0143,0.0231,0.0128,0.0277,0.042,0.0235,0.0537,0.03
194305,0.1221,0.0751,0.0861,0.0595,0.1056,0.0528,0.0663,0.0763,0.096,0.094,0.03
194306,0.0065,0.0141,0.0263,0.0127,0.0282,0.021,0.0149,0.0182,-0.0057,-0.0187,0.03
194307,-0.0849,-0.0735,-0.061,-0.0701,-0.0409,-0.0427,-0.0342,-0.0736,-0.0654,-0.0955,0.03
194308,0.0097,0.0179,0.0108,0.0105,0.0041,0.0013,0.0019,-0.0068,-0.0014,-0.0114,0.03
194309,0.052,0.0528,0.0333,0.041,0.033,0.0381,0.0285,0.0275,0.0235,0.0227,0.03
194310,0.0276,0.0012,-0.0111,0.0083,-0.0059,-0.0062,-0.0069,-0.0108,-0.0173,-0.0165,0.03
194311,-0.1171,-0.0851,-0.1038,-0.0869,-0.0682,-0.0928,-0.061,-0.0856,-0.0865,-0.0966,0.03
194312,0.1946,0.1249,0.1302,0.0986,0.0948,0.0872,0.0887,0.0518,0.0474,0.0709,0.03
194401,0.0692,0.0343,0.0458,0.055,0.0282,0.0481,0.0466,0.0359,0.0396,0.0515,0.03
194402,0.0259,0.0099,0.0168,0.01,0.0107,0.0078,0.0186,0.0095,0.0262,0.0083,0.03
194403,0.0605,0.0475,0.0422,0.0462,0.0167,0.0282,0.0335,0.047,0.0248,0.0467,0.02
194404,-0.0222,-0.0182,-0.0219,-0.0201,-0.0228,-0.0277,-0.0309,-0.0362,-0.0511,-0.046,0.03
194405,0.0792,0.0839,0.0635,0.0806,0.0733,0.0642,0.06,0.0471,0.0571,0.053,0.03
194406,0.1221,0.0616,0.0896,0.0905,0.1017,0.0959,0.1175,0.1,0.0997,0.146,0.03
194407,0.0103,-0.0011,0.0028,0.0002,-0.0048,-0.002,-0.0235,-0.0309,-0.0351,-0.0351,0.03
194408,0.0721,0.0553,0.0327,0.0235,0.0233,0.0257,0.0244,0.0139,0.0173,0.0167,0.03
194409,0.0115,0.0015,0.0078,-0.002,0.0094,-0.004,0.0009,0.0012,-0.0074,-0.0186,0.02
194410,0,0.0093,0.0013,0.0001,0.0074,-0.0009,0.0022,-0.0015,-0.0117,-0.0034,0.03
194411,0.0395,0.0282,0.0182,0.0202,0.0266,0.0204,0.0185,0.0222,0.021,0.0186,0.03
194412,0.0839,0.0659,0.0557,0.0492,0.061,0.0742,0.0745,0.0686,0.0835,0.0765,0.02
194501,0.0758,0.0697,0.0433,0.05,0.052,0.0645,0.0373,0.0267,0.0282,-0.0014,0.03
194502,0.1192,0.0837,0.0901,0.0708,0.0958,0.0845,0.0746,0.0796,0.0762,0.0724,0.02
194503,-0.0356,-0.0436,-0.0513,-0.0494,-0.0391,-0.0447,-0.0654,-0.0636,-0.0795,-0.0914,0.02
194504,0.1217,0.109,0.0873,0.0848,0.0868,0.093,0.0876,0.0651,0.0796,0.0733,0.03
194505,0.0457,0.0547,0.029,0.0329,0.0297,0.0304,0.0075,0.0204,0.0123,0.0378,0.03
194506,0.0362,0.027,0.0375,0.0451,0.0264,0.038,0.0132,0.029,0.049,0.0639,0.02
194507,-0.0208,-0.0236,-0.021,-0.032,-0.0284,-0.029,-0.0377,-0.0196,-0.0531,-0.0823,0.03
194508,0.0456,0.0789,0.0889,0.0821,0.0678,0.0768,0.0649,0.066,0.0565,0.0353,0.03
194509,0.0816,0.0563,0.0637,0.0571,0.0588,0.061,0.0691,0.0628,0.0568,0.0582,0.03
